id,dno_id,code,description,has_related_metering,has_comms,is_hh,meter_type_id,meter_payment_type_id,tpr_count,valid_from,valid_to
0,,500,NHH Unrestricted 1-rate Non-Prog Credit Meter,1,0,0,17,0,1,1996-03-31 23:00:00+00,
1,,501,NHH Unrestricted 1-rate Prog Credit Meter,1,0,0,18,0,1,1996-03-31 23:00:00+00,
2,,502,Related Unmetered Continuous - Flat Profile,1,0,0,16,0,2,1996-03-31 23:00:00+00,
3,,503,Related Unmetered Dawn to Dusk,1,0,0,16,0,2,1996-03-31 23:00:00+00,
4,,504,Related Unmetered Dusk to Dawn,1,0,0,16,0,2,1996-03-31 23:00:00+00,
5,,505,Related Unmetered Half Night And Pre-Dawn,1,0,0,16,0,2,1996-03-31 23:00:00+00,
6,,506,Unmetered Reserved - Site Specific,1,0,0,16,0,0,1996-03-31 23:00:00+00,
7,,800,Temporary - No Meter,0,0,0,11,3,0,1996-03-31 23:00:00+00,
8,,801,NHH Unrestricted 1-rate Non-Prog Credit Meter,0,0,0,17,0,1,1996-03-31 23:00:00+00,
9,,802,NHH Unrestricted 1-rate Prog Credit Meter,0,0,0,18,0,1,1996-03-31 23:00:00+00,
10,,803,NHH 2-rate 7hrs Night Non-Prog T/S,0,0,0,14,0,2,1996-03-31 23:00:00+00,
11,,804,NHH 2-rate 7hrs Night Prog T/S,0,0,0,15,0,2,1996-03-31 23:00:00+00,
12,,805,NHH 2-rate 7hrs Night Non-Prog RTS,0,0,0,8,0,2,1996-03-31 23:00:00+00,
13,,806,NHH 2-rate 7hrs Night Prog RTS,0,0,0,9,0,2,1996-03-31 23:00:00+00,
14,,807,NHH 7hr E7 GMT Non-Prog T/S,0,0,0,14,0,2,1996-03-31 23:00:00+00,
15,,808,NHH 7hr E7 GMT Prog T/S,0,0,0,15,0,2,1996-03-31 23:00:00+00,
16,,809,NHH 7hr E7 GMT Non-Prog RTS,0,0,0,8,0,2,1996-03-31 23:00:00+00,
17,,810,NHH 7hr E7 GMT Prog RTS,0,0,0,9,0,2,1996-03-31 23:00:00+00,
18,,811,NHH 7hr E7 GMT Non-Prog T/S,0,0,0,14,0,2,1996-03-31 23:00:00+00,
19,,812,NHH 7hr E7 GMT Prog T/S,0,0,0,15,0,2,1996-03-31 23:00:00+00,
20,,813,NHH 7hr E7 Clocktime Non-Prog RTS,0,0,0,8,0,2,1996-03-31 23:00:00+00,
21,,814,NHH 7hr E7 GMT Non-Prog RTS,0,0,0,8,0,2,1996-03-31 23:00:00+00,
22,,815,NHH 7hr E7 GMT Prog RTS,0,0,0,9,0,2,1996-03-31 23:00:00+00,
23,,816,7hr E7 00:30-07:30 Clocktime Non-Prog T/S,0,0,0,14,0,2,1996-03-31 23:00:00+00,
24,,817,7hr E7 00:30-07:30 Clocktime Prog T/S,0,0,0,15,0,2,1996-03-31 23:00:00+00,
25,,818,7hr Off Peak - GMT Non-Prog T/S,0,0,0,14,0,1,1996-03-31 23:00:00+00,
26,,819,7hr Off Peak - GMT Prog T/S,0,0,0,15,0,1,1996-03-31 23:00:00+00,
27,,820,8hr Night (2-rate) GMT - Non-Prog T/S,0,0,0,14,0,2,1996-03-31 23:00:00+00,
28,,821,8hr Night (2-rate) GMT - Prog T/S,0,0,0,15,0,2,1996-03-31 23:00:00+00,
29,,822,8hr OP 23:00-07:00 GMT Non-Prog T/S,0,0,0,14,0,1,1996-03-31 23:00:00+00,
30,,823,8hr OP 23:00-07:00 GMT Prog T/S,0,0,0,15,0,1,1996-03-31 23:00:00+00,
